0.105	14.23813335290559	19.10299693428741	-14.524830503091003	-14.523443951629284
0.11	23.999999999997517	19.204442165811113	-14.639999999999645	-14.619215685668827
0.115	23.999999999975472	19.29929605223695	-14.759999999996177	-14.715477570672514
0.12	23.999999999987306	19.388344853580524	-14.879999999997928	-14.812198901897249
0.125	23.999999999983334	19.472175557798273	-14.999999999997137	-14.909351963941313
0.13	23.999999999986414	19.55125809263825	-15.119999999997622	-15.006912746393803
0.135	23.999999999994806	23.000000000000455	-15.239999999999085	-15.104999999999954
0.14	23.999999999995573	22.999999999923435	-15.359999999999207	-15.219999999927769
0.145	23.99999999999632	22.999999999929358	-15.479999999999333	-15.334999999928888
0.15	23.999999999999307	22.999999999932985	-15.599999999999888	-15.449999999928671
0.155	23.999999999995893	22.999999999953644	-15.71999999999912	-15.564999999948112
0.16	23.999999999988606	22.99999999994552	-15.839999999997449	-15.679999999932326
0.165	23.99999999999823	22.99999999994755	-15.95999999999966	-15.794999999933715
0.17	23.999999999998206	22.999999999941902	-16.07999999999962	-15.909999999922173
0.175	23.999999999997605	22.99999999994643	-16.199999999999577	-16.024999999923633
0.18	23.99999999999459	22.99999999995373	-16.319999999998892	-16.139999999924566
0.185	23.999999999996728	22.999999999953033	-16.43999999999917	-16.254999999926355
0.19	23.999999999990873	22.999999999957932	-16.559999999997657	-16.369999999928396
0.195	23.999999999997414	22.99999999995889	-16.679999999999303	-16.48499999993011
0.2	23.999999999999446	22.99999999995592	-16.799999999999887	-16.599999999922627
